"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"TOLERANCE";
"R352.4";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R353.1";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R353.2";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R353.3";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R353.4";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R354.1";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R354.2";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R354.3";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R354.4";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R355.1";"22R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"R0805";"0.1%";
"R355.2";"22R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"R0805";"0.1%";
