"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"TOLERANCE";
"TP304";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP305";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP306";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP321.1";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP321.2";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP322.1";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP322.2";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP323.1";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP323.2";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP351.1";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP351.2";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP351.3";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP351.4";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP352.1";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP352.2";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP352.3";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP352.4";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP353.1";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP353.2";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP353.3";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP353.4";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP354.2";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP354.3";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP354.4";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP355.1";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP355.2";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP355.3";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP355.4";"TP";"TP";"C90";"";"";"";"";"";"";"";
"TP9354.1";"TP";"TP";"C90";"";"";"";"";"";"";"";
"U11";"NUCLEO_F103_BOT";"NUCLEO_F103_BOT";"NUCLEO_BRD64_LOWER";"";"";"";"";"";"";"";
"U121.1";"W25Q512JV";"W25Q80BVSSIG";"SO08W";"";"";"";"";"";"";"";
"U121.2";"W25Q512JV";"W25Q80BVSSIG";"SO08W";"";"";"";"";"";"";"";
"X101.1";"BU-SMA-GSPECIAL";"BU-SMA-GSPECIAL";"BU_SMA_3P";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";
"X101.2";"BU-SMA-GSPECIAL";"BU-SMA-GSPECIAL";"BU_SMA_3P";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";
"X101.3";"BU-SMA-GSPECIAL";"BU-SMA-GSPECIAL";"BU_SMA_3P";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";
"X101.4";"BU-SMA-GSPECIAL";"BU-SMA-GSPECIAL";"BU_SMA_3P";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";
"X601";"";"MPT4";"4POL254";"PHOENIX CONNECTOR";"";"";"";"";"";"";
"X602";"";"MPT4";"4POL254";"PHOENIX CONNECTOR";"";"";"";"";"";"";
